"VENTA";"PROYECTO";"MONEDA";"ESTADO ACTUAL";"ESTADO CALCULADO";"SALDO COMERCIAL";"SALDO CONTABLE";"DIF. SALDOS"
"8612";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8544.84";"8544.84";"OK";""
"8613";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"10355.9";"10355.9";"OK";""
"8614";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9175.4";"9175.4";"OK";""
"8615";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"6327.94";"6327.94";"OK";""
"8616";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9781.3";"9781.3";"OK";""
"8617";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"14637.42";"14637.42";"OK";""
"8618";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"14675.2";"14675.2";"OK";""
"8619";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"12515.06";"12515.06";"OK";""
"8620";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10835.43";"10835.43";"OK";""
"8621";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"13040.56";"13040.56";"OK";""
"8622";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"10047.08";"10047.08";"OK";""
"8623";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"12372.18";"12372.18";"OK";""
"8624";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"10601.76";"10601.76";"OK";""
"8625";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"11849.04";"11849.04";"OK";""
"8626";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8988.88";"8988.88";"OK";""
"8627";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8988.88";"8988.88";"OK";""
"8628";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8988.88";"8988.88";"OK";""
"8629";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"11155.9";"11155.9";"OK";""
"8630";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"11379.86";"11379.86";"OK";""
"8631";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10088.15";"10088.15";"OK";""
"8632";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8049.24";"8049.24";"OK";""
"8633";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"9501.87";"9501.87";"OK";""
"8634";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"6327.94";"6327.94";"OK";""
"8635";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"7735.09";"7735.09";"OK";""
"8636";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"6327.94";"6327.94";"OK";""
"8637";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8326.77";"8326.77";"OK";""
"8638";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"13379.55";"13379.55";"OK";""
"8639";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"10767.62";"10767.62";"OK";""
"8640";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9778.97";"9778.97";"OK";""
"8641";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9220.67";"9220.67";"OK";""
"8642";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9600.05";"9600.05";"OK";""
"8643";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9714.51";"9714.51";"OK";""
"8644";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"8232.93";"8232.93";"OK";""
"8645";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"8624.88";"8624.88";"OK";""
"8646";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"8232.93";"8232.93";"OK";""
"8647";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"13948.38";"13948.38";"OK";""
"8648";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"10848.44";"10848.44";"OK";""
"8649";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"10786.89";"10786.89";"OK";""
"8650";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8238.59";"8238.59";"OK";""
"8651";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9509.55";"9509.55";"OK";""
"8652";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"6182.39";"6182.39";"OK";""
"8653";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"6327.94";"6327.94";"OK";""
"8654";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"6564.42";"6564.42";"OK";""
"8655";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8941.96";"8941.96";"OK";""
"8656";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"8011.5";"8011.5";"OK";""
"8657";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"13003.35";"13003.35";"OK";""
"8658";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"6741.53";"6741.53";"OK";""
"8659";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"9935.44";"9935.44";"OK";""
"8660";"OKINAWA";"USD";"Retenido";"Pendiente";"3558.49";"3558.49";"OK";""
"8661";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8055.26";"8055.26";"OK";""
"8662";"OKINAWA";"USD";"Retenido";"Pendiente";"3725.33";"3725.33";"OK";""
"8663";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"11927.24";"11927.24";"OK";""
"8664";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8667.98";"8667.98";"OK";""
"8665";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"15052.27";"15052.27";"OK";""
"8666";"OKINAWA";"USD";"Pendiente";"Pendiente";"3610.88";"3610.88";"OK";""
"8667";"OKINAWA";"USD";"Pendiente";"Pendiente";"3317.25";"3317.25";"OK";""
"8668";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"7165.4";"7165.4";"OK";""
"8669";"OKINAWA";"USD";"Pendiente";"Pendiente";"3377.56";"3377.56";"OK";""
"8670";"OKINAWA";"USD";"Retenido";"Pendiente";"3546.4";"3546.4";"OK";""
"8671";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8513.61";"8513.61";"OK";""
"8672";"OKINAWA";"USD";"Retenido";"Pendiente";"4342.32";"4342.32";"OK";""
"8673";"OKINAWA";"USD";"Retenido";"Pendiente";"3498.16";"3498.16";"OK";""
"8674";"OKINAWA";"USD";"Pendiente";"Pendiente";"4425.88";"4425.88";"OK";""
"8675";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"14064.51";"14064.51";"OK";""
"8676";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"14250.55";"14250.55";"OK";""
"8677";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"6437.08";"6437.08";"OK";""
"8678";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"7594.22";"7594.22";"OK";""
"8679";"OKINAWA";"USD";"Pendiente";"Pendiente";"4346.85";"4346.85";"OK";""
"8680";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"7492.04";"7492.04";"OK";""
"8681";"OKINAWA";"USD";"Pendiente";"Pendiente";"5278.15";"5278.15";"OK";""
"8682";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"14788.19";"14788.19";"OK";""
"8683";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"14783.6";"14783.6";"OK";""
"8684";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"6004";"6004";"OK";""
"8685";"OKINAWA";"USD";"Cambiado";"Pendiente";"4863.8";"4863.8";"OK";""
"8686";"OKINAWA";"USD";"Retenido";"Pendiente";"4566.58";"4566.58";"OK";""
"8687";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8513.61";"8513.61";"OK";""
"8688";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9306.64";"9306.64";"OK";""
"8689";"OKINAWA";"USD";"Pendiente";"Pendiente";"3675.28";"3675.28";"OK";""
"8690";"OKINAWA";"USD";"Retenido";"Pendiente";"3803.8";"3803.8";"OK";""
"8691";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10173.63";"10173.63";"OK";""
"8692";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"12837.76";"12837.76";"OK";""
"8693";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"7492.04";"7492.04";"OK";""
"8694";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8204.03";"8204.03";"OK";""
"8695";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"6102.78";"6102.78";"OK";""
"8696";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8055.26";"8055.26";"OK";""
"8697";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8623.19";"8623.19";"OK";""
"8698";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"15216.25";"15216.25";"OK";""
"8699";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"7164.21";"7164.21";"OK";""
"8700";"CIUDAD DE DIOS LUJAN";"USD";"Fusionado";"Pendiente";"15052.27";"15052.27";"OK";""
"8701";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9461.31";"9461.31";"OK";""
"8702";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"13081.87";"13081.87";"OK";""
"8703";"OKINAWA";"USD";"Retenido";"Pendiente";"3610.35";"3610.35";"OK";""
"8704";"OKINAWA";"USD";"Pendiente";"Pendiente";"3256.94";"3256.94";"OK";""
"8705";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8856.53";"8856.53";"OK";""
"8706";"OKINAWA";"USD";"Retenido";"Pendiente";"3746.77";"3746.77";"OK";""
"8707";"OKINAWA";"USD";"Retenido";"Pendiente";"3675.2";"3675.2";"OK";""
"8708";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9497.71";"9497.71";"OK";""
"8709";"OKINAWA";"USD";"Retenido";"Pendiente";"3675.36";"3675.36";"OK";""
"8710";"OKINAWA";"USD";"Retenido";"Pendiente";"3739.68";"3739.68";"OK";""
"8711";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10835.43";"10835.43";"OK";""
"8712";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10648.61";"10648.61";"OK";""
"8713";"OKINAWA";"USD";"Pendiente";"Pendiente";"3610.88";"3610.88";"OK";""
"8714";"OKINAWA";"USD";"Pendiente";"Pendiente";"3610.88";"3610.88";"OK";""
"8715";"OKINAWA";"USD";"Pendiente";"Pendiente";"6068.34";"6068.34";"OK";""
"8716";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"7893.41";"7893.41";"OK";""
"8717";"OKINAWA";"USD";"Pendiente";"Pendiente";"3610.88";"3610.88";"OK";""
"8718";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"8301.74";"8301.74";"OK";""
"8719";"OKINAWA";"USD";"Retenido";"Pendiente";"4952.23";"4952.23";"OK";""
"8720";"OKINAWA";"USD";"Retenido";"Pendiente";"3558.49";"3558.49";"OK";""
"8721";"OKINAWA";"USD";"Retenido";"Pendiente";"3797.06";"3797.06";"OK";""
"8722";"OKINAWA";"USD";"Retenido";"Pendiente";"3437.87";"3437.87";"OK";""
"8723";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8792.11";"8792.11";"OK";""
"8724";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"12075.54";"12075.54";"OK";""
"8725";"CIUDAD DE DIOS LUJAN";"USD";"Pagado";"Pendiente";"11717.29";"11717.29";"OK";""
"8726";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9008.57";"9008.57";"OK";""
"8727";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8358.82";"8358.82";"OK";""
"8728";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"12994.61";"12994.61";"OK";""
"8729";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"12134.98";"12134.98";"OK";""
"8730";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"11905.37";"11905.37";"OK";""
"8731";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7306.95";"7306.95";"OK";""
"8732";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8569.59";"8569.59";"OK";""
"8733";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9789.23";"9789.23";"OK";""
"8734";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"13417.3";"13417.3";"OK";""
"8735";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"11681.16";"11681.16";"OK";""
"8736";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"11681.16";"11681.16";"OK";""
"8737";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9306.48";"9306.48";"OK";""
"8738";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"12466.91";"12466.91";"OK";""
"8739";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9982.4";"9982.4";"OK";""
"8740";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8887.36";"8887.36";"OK";""
"8741";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9306.48";"9306.48";"OK";""
"8742";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9550.8";"9550.8";"OK";""
"8743";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8133.04";"8133.04";"OK";""
"8744";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8250.52";"8250.52";"OK";""
"8745";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8388.72";"8388.72";"OK";""
"8746";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8739.82";"8739.82";"OK";""
"8747";"LA QUINTA";"USD";"Retenido";"Pendiente";"19493.39";"19493.39";"OK";""
"8748";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8577.29";"8577.29";"OK";""
"8749";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9873";"9873";"OK";""
"8750";"LA QUINTA";"USD";"Retenido";"Pendiente";"21885.06";"21885.06";"OK";""
"8751";"LA QUINTA";"USD";"Retenido";"Pendiente";"21281.7";"21281.7";"OK";""
"8752";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"11992.6";"11992.6";"OK";""
"8753";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7378.62";"7378.62";"OK";""
"8754";"CIUDAD DE DIOS LUJAN";"USD";"Cambiado";"Pendiente";"9309.96";"9309.96";"OK";""
"8755";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8617.2";"8617.2";"OK";""
"8756";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9922.73";"9922.73";"OK";""
"8757";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7532.34";"7532.34";"OK";""
"8758";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10715.92";"10715.92";"OK";""
"8759";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7558.99";"7558.99";"OK";""
"8760";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"11390.26";"11390.26";"OK";""
"8761";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9869.21";"9869.21";"OK";""
"8762";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"7867.53";"7867.53";"OK";""
"8763";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8597.4";"8597.4";"OK";""
"8764";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8577.29";"8577.29";"OK";""
"8765";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8793.15";"8793.15";"OK";""
"8766";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8638.88";"8638.88";"OK";""
"8767";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7867.4";"7867.4";"OK";""
"8768";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"8171.69";"8171.69";"OK";""
"8769";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"11444.03";"11444.03";"OK";""
"8770";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7839.78";"7839.78";"OK";""
"8771";"LA QUINTA";"USD";"Retenido";"Pendiente";"18268.88";"18268.88";"OK";""
"8772";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10503.63";"10503.63";"OK";""
"8773";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"10719.17";"10719.17";"OK";""
"8774";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"11991.27";"11991.27";"OK";""
"8775";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10298.1";"10298.1";"OK";""
"8776";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10516.92";"10516.92";"OK";""
"8777";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7346.47";"7346.47";"OK";""
"8778";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7532.34";"7532.34";"OK";""
"8779";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"12626.62";"12626.62";"OK";""
"8780";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7993.5";"7993.5";"OK";""
"8781";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7378.62";"7378.62";"OK";""
"8782";"LA QUINTA";"USD";"Pendiente";"Pendiente";"3913.33";"3913.33";"OK";""
"8783";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"8213.79";"8213.79";"OK";""
"8784";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9922.73";"9922.73";"OK";""
"8785";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7531.78";"7531.78";"OK";""
"8786";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9586.37";"9586.37";"OK";""
"8787";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Retenido";"0";"0";"OK";""
"8788";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"9473.47";"9473.47";"OK";""
"8789";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9123.76";"9123.76";"OK";""
"8790";"CIUDAD DE DIOS LUJAN";"USD";"Retenido";"Pendiente";"10709.74";"10709.74";"OK";""
"8791";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"7378.62";"7378.62";"OK";""
"8792";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9769.16";"9769.16";"OK";""
"8793";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"8158.61";"8158.61";"OK";""
"8794";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"5259.2";"5259.2";"OK";""
"8795";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"5993.8";"5993.8";"OK";""
"8796";"CIUDAD DE DIOS BISITO";"USD";"Retenido";"Pendiente";"5785.1";"5785.1";"OK";""
"8797";"CIUDAD DE DIOS BISITO";"USD";"Pendiente";"Pendiente";"5785.1";"5785.1";"OK";""
"8798";"CIUDAD DE DIOS LUJAN";"USD";"Pendiente";"Pendiente";"9633.63";"9633.63";"OK";""
"8799";"OKINAWA";"USD";"Retenido";"Pendiente";"5839.15";"5839.15";"OK";""
"8800";"OKINAWA";"USD";"Pendiente";"Pendiente";"6158.3";"6158.3";"OK";""
